player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Alex Kendellen,2001-03-01,1,Flanker,7,12/07/2025,Portugal
Andrew Conway,1991-07-11,30,Wing,14,12/03/2022,England
Andrew Porter,1996-01-16,81,Prop,1,22/11/2025,South Africa
Ben Murphy,2001-04-23,2,Replacement,21,12/07/2025,Portugal
Billy Bohan,2005-11-22,1,Replacement,17,11/07/2026,Japan
Billy Burns,1994-06-13,7,Replacement,22,03/07/2021,Japan
Bryn Ward,2004-07-17,1,Replacement,20,11/07/2026,Japan
Bundee Aki,1990-04-07,76,Replacement,23,18/07/2026,New Zealand
CJ Stander,1990-04-05,52,Flanker,6,20/03/2021,England
Caelan Doris,1998-04-02,60,Number 8,8,14/03/2026,Scotland
Calvin Nash,1997-08-08,12,Replacement,23,12/07/2025,Portugal
Caolin Blade,1994-04-29,4,Replacement,21,08/11/2025,Japan
Chris Farrell,1993-03-16,15,Centre,13,03/07/2021,Japan
Cian Healy,1987-10-07,136,Replacement,17,08/03/2025,France
Cian Prendergast,2000-02-23,9,Flanker,6,04/07/2026,Australia
Ciaran Frawley,1997-12-04,15,Replacement,22,18/07/2026,New Zealand
Conor Murray,1989-04-20,133,Replacement,21,15/03/2025,Italy
Cormac Izuchukwu,2000-01-28,5,Replacement,19,11/07/2026,Japan
Craig Casey,1999-04-19,30,Replacement,21,18/07/2026,New Zealand
Dan Sheehan,1998-09-17,43,Hooker,2,18/07/2026,New Zealand
Darragh Murray,2001-07-04,3,Replacement,19,14/03/2026,Scotland
Dave Heffernan,1991-01-31,7,Replacement,16,02/07/2022,New Zealand
Dave Kearney,1989-06-19,19,Replacement,23,31/08/2019,Wales
Dave Kilcoyne,1988-12-14,56,Replacement,17,14/10/2023,New Zealand
Devin Toner,1986-06-29,70,Lock,4,23/02/2020,England
Ed Byrne,1993-09-09,6,Replacement,17,12/07/2022,Maori All Blacks
Edwin Edogbo,2002-12-21,1,Replacement,19,14/02/2026,Italy
Eric O'Sullivan,1995-11-30,1,Replacement,17,05/12/2020,Scotland
Fineen Wycherley,1997-12-11,1,Replacement,19,10/07/2021,USA
Finlay Bealham,1991-10-09,57,Replacement,18,14/03/2026,Scotland
Garry Ringrose,1995-01-26,75,Centre,13,18/07/2026,New Zealand
Gavin Coombes,1997-12-11,3,Number 8,8,05/07/2025,Georgia
Gus McCarthy,2003-07-23,7,Replacement,16,08/11/2025,Japan
Harry Byrne,1999-04-22,5,Replacement,22,11/07/2026,Japan
Hugh Gavin,2004-01-10,1,Centre,13,12/07/2025,Portugal
Hugo Keenan,1996-06-18,51,Full Back,15,18/07/2026,New Zealand
Iain Henderson,1992-02-21,86,Replacement,19,01/11/2025,New Zealand
Jack Aungier,1998-11-20,1,Replacement,18,05/07/2025,Georgia
Jack Boyle,2002-03-10,4,Prop,1,12/07/2025,Portugal
Jack Carty,1992-08-31,11,Replacement,22,12/02/2022,France
Jack Conan,1992-07-29,68,Number 8,8,18/07/2026,New Zealand
Jack Crowley,2000-01-13,33,Fly Half,10,14/03/2026,Scotland
Jack McGrath,1989-10-11,59,Replacement,17,24/08/2019,England
Jacob Stockdale,1996-04-03,43,Wing,11,11/07/2026,Japan
James Hume,1998-09-07,3,Centre,13,29/06/2022,Maori All Blacks
James Lowe,1992-07-08,47,Wing,11,21/02/2026,England
James Ryan,1996-07-24,85,Lock,5,18/07/2026,New Zealand
Jamie Osborne,2001-11-16,17,Full Back,15,11/07/2026,Japan
Jamison Gibson-Park,1992-02-23,56,Scrum Half,9,18/07/2026,New Zealand
Jean Kleyn,1993-08-26,14,Replacement,19,12/10/2019,Samoa
Jeremy Loughman,1995-07-22,10,Replacement,17,18/07/2026,New Zealand
Jimmy O'Brien,1996-11-27,14,Wing,11,18/07/2026,New Zealand
Joe McCarthy,2001-03-26,27,Lock,4,18/07/2026,New Zealand
Joey Carbery,1995-11-01,37,Fly Half,10,12/11/2022,Fiji
John Cooney,1990-05-01,11,Replacement,21,23/02/2020,England
John Ryan,1988-08-02,24,Replacement,18,03/07/2021,Japan
Johnny Sexton,1985-07-11,124,Fly Half,10,14/10/2023,New Zealand
Jordan Larmour,1997-06-10,32,Full Back,15,16/03/2024,Scotland
Jordi Murphy,1991-04-22,30,Number 8,8,03/10/2019,Russia
Josh van der Flier,1993-04-25,81,Flanker,7,18/07/2026,New Zealand
Keith Earls,1987-10-02,101,Wing,14,09/09/2023,Romania
Kieran Marmion,1992-02-11,28,Replacement,21,29/11/2020,Georgia
Kieran Treadwell,1995-11-06,11,Replacement,19,18/03/2023,England
Luke McGrath,1993-02-03,19,Replacement,21,19/10/2019,New Zealand
Mack Hansen,1998-03-27,30,Full Back,15,22/11/2025,South Africa
Max Deegan,1996-10-01,4,Replacement,20,12/07/2025,Portugal
Michael Bent,1986-04-25,4,Replacement,18,12/07/2022,Maori All Blacks
Michael Lowry,1998-08-20,1,Full Back,15,12/07/2022,Maori All Blacks
Michael Milne,2000-02-05,5,Replacement,17,14/03/2026,Scotland
Mike Haley,1994-06-28,1,Replacement,23,10/08/2019,Italy
Nathan Doak,2001-12-17,2,Replacement,21,11/07/2026,Japan
Niall Scannell,1992-04-08,20,Hooker,2,12/07/2022,Maori All Blacks
Nick Timoney,1995-08-01,13,Replacement,19,18/07/2026,New Zealand
Oliver Jager,1995-07-05,1,Replacement,18,24/02/2024,Wales
Paddy McCarthy,2003-05-28,4,Replacement,17,22/11/2025,South Africa
Paul Boyle,1997-01-14,1,Replacement,20,10/07/2021,USA
Peter O'Mahony,1989-09-17,115,Replacement,20,15/03/2025,Italy
Quinn Roux,1990-10-30,16,Replacement,19,05/12/2020,Scotland
Rhys Ruddock,1990-11-13,27,Flanker,6,14/02/2021,France
Rob Herring,1990-04-27,43,Replacement,16,08/03/2025,France
Rob Kearney,1986-03-26,98,Full Back,15,19/10/2019,New Zealand
Robbie Henshaw,1993-06-12,89,Centre,13,11/07/2026,Japan
Robert Baloucoune,1997-08-19,9,Wing,14,18/07/2026,New Zealand
Ronan Kelleher,1998-01-24,53,Replacement,16,18/07/2026,New Zealand
Rory Best,1982-08-15,124,Hooker,2,19/10/2019,New Zealand
Ross Byrne,1995-04-08,22,Replacement,22,16/09/2023,Tonga
Ryan Baird,1999-07-26,32,Flanker,6,22/11/2025,South Africa
Sam Illo,2001-02-16,1,Replacement,18,11/07/2026,Japan
Sam Prendergast,2003-02-12,17,Fly Half,10,18/07/2026,New Zealand
Sean Cronin,1986-05-06,72,Replacement,16,03/10/2019,Russia
Sean Jansen,1999-05-10,2,Replacement,20,18/07/2026,New Zealand
Sean O'Brien,1987-02-14,61,Flanker,7,16/03/2019,Wales
Shane Daly,1996-12-19,2,Replacement,23,03/07/2021,Japan
Shayne Bolton,2000-06-29,1,Wing,11,12/07/2025,Portugal
Stuart McCloskey,1992-08-06,31,Centre,12,18/07/2026,New Zealand
Tadhg Beirne,1992-01-08,79,Flanker,6,18/07/2026,New Zealand
Tadhg Furlong,1992-11-14,98,Prop,3,18/07/2026,New Zealand
Thomas Ahern,2000-02-22,2,Lock,4,12/07/2025,Portugal
Tom Clarkson,2000-02-22,14,Replacement,18,18/07/2026,New Zealand
Tom Farrell,1993-10-01,3,Replacement,22,06/03/2026,Wales
Tom O'Toole,1998-09-23,24,Prop,1,18/07/2026,New Zealand
Tom Stewart,2001-01-11,6,Replacement,16,11/07/2026,Japan
Tommy O'Brien,1998-05-28,9,Wing,11,14/03/2026,Scotland
Tommy O'Donnell,1987-05-21,13,Flanker,7,10/08/2019,Italy
Ultan Dillane,1993-11-09,19,Lock,4,03/07/2021,Japan
Will Addison,1992-08-20,5,Replacement,23,10/07/2021,USA
Will Connors,1996-04-04,9,Flanker,7,14/03/2021,Scotland
